Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina04 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina17 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-04-10T01:30:00,6866.05,6969.6,6792.96,6775.77,7008.69,6940.07,7066.1,6946.6,6987.78,6794.25,7005.44,6710.81,6826.26,6851.96,6983.1,6970.76,6791.41,6925.87,6787.02,6758.84,6869.79,6756.76,6870.49,6814.6,6965.1,6822.47,6815.79,7020.76,7027.46,6873.63,6967.94,7121.44,7121.53,6962.58,6978.21,6723.69,6965.45,6961.98,6857.17,7035.7,6959.86,6917.67,6670.9,6965.59,6674.83,6860.81,7053.14,6887.53,6969.04,7005.83
2025-04-10T01:33:00,6865.64,6968.62,6792.74,6776.32,7008.39,6939.7,7065.31,6946.17,6986.65,6792.77,7004.52,6710.28,6829.18,6851.29,6982.71,6969.83,6790.91,6924.49,6786.86,6758.88,6870.67,6755.97,6871.41,6813.15,6965.05,6822.22,6815,7019.66,7028.3,6873.03,6967.98,7121.44,7123.28,6962.89,6977.73,6722.24,6964.93,6961.24,6856.84,7035.95,6958.87,6917.89,6671.41,6968.86,6674.1,6859.88,7052.56,6887.35,6969.08,7005.97
2025-04-10T01:36:00,6863.86,6968.65,6792.31,6775.32,7007.06,6939.01,7064.04,6946.51,6986.5,6792.42,7004.46,6710.08,6827.64,6852.34,6983.02,6970.34,6791.95,6925.24,6787.51,6759.08,6868.69,6755.79,6870.45,6812.32,6965.28,6821.32,6816.67,7019.48,7027.58,6873.65,6968.09,7121.89,7122.07,6962.01,6978.16,6724.22,6964.62,6962.48,6857.44,7035.32,6957.11,6915.21,6669.22,6963.98,6674.7,6861.52,7052.01,6886,6967.07,7004.75
2025-04-10T01:39:00,6863.11,6968.71,6792.16,6776.39,7007.32,6939.56,7063.13,6946.48,6986.5,6792.45,7004.45,6710.38,6828.29,6851.53,6982.32,6969.8,6792.44,6925.12,6787.39,6759.12,6869.47,6756.55,6871.03,6813.32,6965.58,6820.89,6816.29,7019.67,7028.44,6873.07,6968.9,7122.07,7122.82,6962.08,6977.71,6722.95,6964.68,6961.77,6856.5,7034.9,6958.05,6915.39,6669,6963.94,6674.28,6860.36,7052.3,6886.25,6967.94,7005.26
2025-04-10T01:42:00,6862.35,6969.77,6793.49,6775.93,7008.66,6939.47,7063.13,6944.26,6987.02,6793.59,7004.41,6709.63,6827.04,6852.85,6982.09,6970.01,6790.95,6924.88,6786.64,6758.53,6868.93,6756.22,6871.21,6812.71,6964.51,6821.99,6814.45,7019.66,7027.96,6872.89,6966.88,7122.36,7122.4,6962.46,6977.4,6723.7,6964.89,6961.65,6856.25,7035.25,6959.15,6914.47,6672.17,6963.96,6674.02,6861.58,7052,6886.26,6966.74,7005.05
2025-04-10T01:45:00,6861.25,6968.95,6793.49,6775.04,7006.16,6938.64,7063,6947.26,6986.63,6792.4,7004,6710.69,6826.12,6851.49,6983.06,6970.28,6790.83,6924.29,6786.12,6758.76,6868.65,6755.02,6869.8,6813.31,6965.08,6820.18,6815.54,7020.24,7027.19,6873.34,6966.43,7122.68,7122.05,6962.62,6976.79,6724.06,6965.4,6961.37,6857.14,7034.92,6959.61,6914.63,6673.14,6964.87,6674.53,6861.13,7051.76,6886.43,6967.37,7005.34
2025-04-10T01:48:00,6860.44,6968.51,6790.96,6775.04,7008.62,6938.7,7062.92,6946.74,6986.65,6792.33,7004.75,6709.72,6826.75,6852.51,6982.9,6969.76,6791.6,6924.57,6787.8,6758.74,6868.63,6755.9,6872.18,6812.15,6965.32,6820.54,6816.62,7020.57,7026.45,6873.56,6968.4,7122.66,7123.7,6963.13,6977.8,6722.69,6964.69,6962.11,6856.61,7033.71,6957.62,6913.82,6668.28,6959.95,6674.26,6860,7052.54,6886.49,6967.95,7005.3
2025-04-10T01:51:00,6859.69,6969.41,6791.25,6775.39,7008.11,6939.31,7062.38,6945.24,6987.25,6793.61,7004.9,6709.77,6827.04,6851.68,6982.76,6970.01,6791.39,6924.8,6786.74,6758.92,6867.46,6755.64,6871.92,6812.63,6964.59,6820.92,6815.69,7021.78,7027.98,6873,6967.26,7122.18,7122.45,6962.11,6977.52,6725.09,6965.1,6962.14,6858.43,7034.93,6958.62,6913.25,6673.66,6961.34,6673.56,6857.58,7051.5,6886.02,6966.47,7005.27
2025-04-10T01:54:00,6860.81,6968.64,6791.67,6775.15,7008.12,6939.52,7062.75,6946.68,6987.18,6791.82,7003.44,6710.14,6825.98,6851.63,6981.64,6969.81,6790.64,6923.5,6787.7,6760.11,6868.7,6755.39,6871.23,6812.34,6965.4,6821.62,6816.76,7022.59,7027.41,6872.95,6967.35,7121.34,7122.04,6962.4,6977.19,6724.03,6965.51,6962.49,6856.5,7034.33,6959.26,6912.57,6670.84,6964.52,6673.65,6857.96,7051.67,6886.59,6966.47,7006.62
2025-04-10T01:57:00,6859.91,6968.76,6791.29,6774.59,7009.24,6938.45,7063.15,6945.82,6988.07,6792.8,7003.97,6709.7,6826.49,6850.96,6981.44,6969.88,6789.2,6922.83,6787.84,6759.87,6868.87,6755.83,6871.35,6811.96,6965.16,6820.31,6816.17,7021.62,7026.75,6872.53,6966.7,7122.11,7124.09,6963.1,6976.67,6721.94,6965.64,6962.24,6855.6,7033.47,6958.45,6911.75,6669.43,6961.35,6674.51,6858.84,7050.74,6886.47,6965.71,7005.07
2025-04-10T02:00:00,6860.16,6968.7,6790.27,6774.73,7008.73,6938.61,7063.45,6946.45,6987.31,6792.94,7003.83,6709.92,6826.6,6852.02,6981.39,6970.06,6788.97,6923.59,6786.97,6758.25,6867.54,6755.25,6870.95,6811.95,6964.89,6821.23,6815.5,7020.85,7027.08,6872.77,6967.21,7122.64,7122.44,6962.89,6977.3,6721.87,6964.83,6961.58,6855.62,7033.91,6958.89,6911.69,6670.03,6962.52,6673.51,6858.18,7051.76,6886.17,6966.97,7007.08
2025-04-10T02:03:00,6910.67,7017.2,6842.79,6828.32,7052.22,6992.7,7127.74,7000.93,7040.42,6845.95,7063.56,6774.07,6875.29,6905.88,7036.52,7022.58,6838.55,6973.81,6840.24,6808.98,6927.12,6796.09,6909.14,6877.1,7012.71,6873.39,6862.46,7080.2,7078.86,6914.06,7017.89,7169.82,7170.65,7009.64,7038.75,6771.21,7004.41,7027.49,6916.12,7083.91,7014.28,6983.08,6712.27,7013.97,6726.45,6898.49,7101.7,6931.93,7016.31,7047.77
2025-04-10T02:06:00,6873.45,6988.96,6810.1,6799.3,7023.18,6959.39,7080.92,6969.86,7002.55,6804.02,7020.5,6733.45,6840.11,6862.91,6999.02,6986.74,6806.09,6939.27,6805.72,6776.62,6883.67,6771.22,6885.61,6836.92,6981.04,6833.13,6830.91,7037.18,7043.85,6884.02,6981.06,7136.07,7130.02,6979.45,6999.99,6738.23,6977.04,6980.29,6877.53,7054.56,6979.94,6935.73,6682.29,6974.95,6686.87,6867.86,7067.74,6898.79,6984.53,7012
