Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-08-29T01:30:00,6925.83,6905.5,6922.01,6879.17,6962.44,6733.79,6905.63,6782.81,6962.12,6616.7,6992.57,6601.89,7004.76,6773.33,6975.86,6993.22,6980.84,6562.74,6769.31,6995.77,6782.92,6650.16,6700.18,6824.71,6837.65,6598.5,6984.8,6965.75,6925.1,6575.53,6816.81,6774.96,6809.08,6649.01,6983.01,6942.78,6987.53,6976.62,7040.6,6868.44,6774.75,6972.68,7014.1,6771.29,7051.46,6762.41,6554.99,6737.6
2025-08-29T01:33:00,6925.29,6905.43,6921.66,6880.79,6962.74,6733.74,6906.68,6784.01,6961.97,6617.45,6992.21,6601.32,7003.58,6773.86,6973.97,6992.71,6981.79,6563.14,6768.83,6996.55,6782.11,6650.04,6700.63,6824.22,6838.09,6596.44,6985.61,6965.21,6925,6578.38,6817.33,6774.63,6806.98,6648.98,6981.7,6941.42,6987.2,6976.41,7041.95,6867.46,6773.81,6972.65,7015.2,6770.43,7050.81,6762.98,6554.95,6737.51
2025-08-29T01:36:00,6924.77,6905.92,6921.8,6880.9,6962.73,6733,6905.86,6783.4,6960.04,6617.76,6993.11,6601.22,7003.41,6773.47,6976.76,6992.02,6979.03,6564.11,6767.81,6994.79,6783.1,6650.34,6700.19,6824.19,6837.1,6598.41,6984.97,6962.81,6924.01,6574.33,6816.78,6774.13,6806.38,6649.12,6982.32,6941.04,6985.09,6975.61,7041.47,6867.2,6773.15,6972.79,7014.37,6769.96,7050.87,6762.19,6554.08,6737.57
2025-08-29T01:39:00,6925.11,6905.24,6922.03,6882.5,6962.74,6731.52,6905.7,6782.47,6960.01,6617.18,6992.75,6602.17,7001.36,6772.42,6979.01,6992.47,6978.62,6562.4,6767.97,6995.42,6781.62,6650.12,6701.43,6823.73,6837.09,6598.42,6984.47,6960.62,6924.35,6571.55,6818.25,6774.62,6807.56,6647.83,6981.5,6940.98,6985.05,6975.67,7040.61,6867.82,6772.96,6972.81,7014.52,6769.45,7051.34,6761.59,6554.02,6736.8
2025-08-29T01:42:00,6925.04,6905.93,6919.98,6880.34,6962.74,6732.59,6904.69,6782.41,6960.39,6616.92,6993,6600.67,7001.5,6771.26,6976.45,6991.95,6978.92,6563.29,6767.85,6994.91,6780.03,6649.56,6701.02,6824.23,6837.03,6597.7,6984.72,6961.15,6924.78,6572.72,6818.4,6773.98,6807.15,6647.86,6981.05,6941.18,6986.94,6975.85,7040.84,6866.57,6772.84,6971.72,7014.13,6770.27,7050.44,6761.6,6554.21,6736.86
2025-08-29T01:45:00,6923.7,6904.14,6920.89,6880.66,6961.77,6731.23,6906.44,6782.69,6960.37,6616.19,6992.2,6600.38,7003.3,6771.21,6975.09,6991.78,6977.11,6561.16,6767.38,6994.53,6780.1,6649.81,6699.96,6823.83,6836.35,6598.2,6984.84,6961.59,6923.91,6572.89,6817.37,6774.55,6806.48,6647.1,6980.72,6941.02,6985.24,6974.27,7040.16,6866.36,6773.54,6972.52,7013.99,6770.82,7049.92,6762.2,6553.48,6736.5
2025-08-29T01:48:00,6925.1,6904.74,6921.05,6880.29,6962.34,6731.93,6904.11,6781.58,6960.26,6615.89,6992.01,6601.11,7002.12,6770.85,6973.56,6992.21,6979.4,6562.41,6767.48,6995.3,6780.63,6649.06,6699.85,6824,6836.47,6597.84,6984.86,6962.52,6923.08,6573.42,6817.06,6775.06,6806.4,6647.12,6981.15,6940.51,6984.78,6974.26,7040.03,6865.9,6773.37,6971.13,7013.74,6771.44,7050.47,6760.93,6553.63,6737.17
2025-08-29T01:51:00,6925.83,6905.51,6920.36,6879.48,6961.93,6731.54,6904.76,6779.54,6959.09,6614.73,6992.39,6600.52,7000.67,6770.9,6977.21,6991.94,6979.37,6560.86,6766.06,6994.79,6780.71,6649.21,6703.19,6823.53,6835.57,6597.07,6984.5,6963.02,6923.31,6574.04,6816.66,6774.64,6807.43,6646.44,6981.44,6940.46,6985.05,6974.3,7040.19,6866.54,6773.12,6969.56,7013.84,6770.79,7049.94,6760.75,6554.08,6737.2
2025-08-29T01:54:00,6924.59,6903.83,6920.86,6880.39,6962.72,6730.19,6905.08,6780.66,6959.16,6614.61,6993.32,6600.84,7001.01,6769.8,6980.05,6991.84,6977.53,6558.22,6767.53,6995.18,6780.68,6648.99,6704.1,6822.82,6835.38,6596.42,6983.38,6960.97,6922.26,6572.74,6818.18,6774.5,6806.78,6646.34,6980.99,6939.24,6984.4,6974.72,7040.25,6865.29,6771.85,6971.44,7013.54,6770.56,7050.83,6760.88,6553.1,6735.95
2025-08-29T01:57:00,6923.44,6904.28,6920.44,6882.41,6962.28,6731.27,6903.76,6783.61,6961.29,6614.73,6992.24,6599.51,7000.76,6769.87,6969.4,6991.13,6977.17,6559.98,6766.08,6994.17,6779.79,6647.97,6703.15,6823.57,6835.37,6597.98,6984.03,6961.54,6923.19,6569.5,6816.44,6773.54,6805.38,6645.74,6980.92,6939.78,6983.22,6973.24,7039.14,6866.33,6771.97,6974.5,7013.07,6770.73,7050.28,6761.24,6552.97,6736.29
